BHK,price,per_month_emi,total_sqft,latitude,longitude
2,31.6,16.73,800,19.95104,73.75699
2,30,15.89,650,19.9851641,73.76094031
1,24,12.71,769,20.0025,73.78718
1,25,13.24,670,19.98592,73.75964
1,20.38,10.79,685,20.01678,73.79665
3,70,37.07,1320,20.01277,73.73992
3,70,37.07,1320,19.99975,73.73383
0,25,13.24,670,19.98592,73.75964
1,18,9.53,700,19.99339,73.78378
2,45,23.83,1040,20.04723,73.77545
1,20,10.59,670,20.00843,73.77515
2,50,26.48,1050,20.00662,73.7327
1,20,10.59,730,20.04813,73.80687
2,55,29.13,1135,19.97475,73.82099
2,44.5,23.57,980,19.98767,73.8041
0,12.5,6.62,400,19.98264,73.78627
1,34,18,710,20.01798255,73.75409386
2,37,19.59,700,19.94749,73.76139
2.5,65,34.42,1300,19.9973,73.81223
2,28,14.83,825,19.97732,73.84347
2,25,13.24,850,20.03019,73.80242
1,35,18.53,750,19.97211,73.81902
1,30,15.89,660,19.96758,73.7829
1,30,15.89,660,19.96599,73.77292
2,25,13.24,800,19.94625,73.8147
0,12.5,6.62,400,20.01726691,73.78508823
3,45,23.83,1270,20.0042,73.74582
1,16,8.47,600,19.97475,73.82099
2,33,17.48,823,19.9399,73.84584
2,35.5,18.8,1035,20.04717,73.80352
2,52,27.54,750,20.00619,73.75742
3,45,23.83,1400,20.0354,73.80816
3,85,42.2,1500,19.99503,73.79647
3,41,21.71,1100,19.96311,73.77113
2,31,16.42,780,19.94625,73.8147
2,30,15.89,1000,19.97430003,73.75463008
2,26,13.77,862,20.04723,73.77545
1,21,11.12,592,19.95266,73.8365
2,26.15,13.85,975,20.04133,73.80167
2,45,23.83,968,19.99158,73.79979
1,13,6.88,520,19.96599,73.77292
0,16,8.47,650,19.9305322,73.81173403
1,20,10.59,560,20.03178,73.8551
1,20,10.59,600,19.94749,73.76139
3,70,37.07,1550,19.96758,73.7829
2,45,23.83,1150,19.97693,73.79817
1,15,7.94,500,20.00569,73.79891
1,18,9.53,650,19.95531,73.84089
1,50,26.48,720,20.00763,73.76362
1,38,20.12,600,20.0129,73.75045
1,20,10.59,750,19.95531,73.84089
2,45,23.83,600,19.97811,73.79962
2,40,21.18,1100,20.0011,73.79027
1,18,9.53,640,19.95531,73.84089
1,26,13.77,602,19.94749,73.76139
2,45,23.83,960,19.99158,73.79979
2,50,26.48,900,19.97594,73.82971
2,30,15.89,900,20.03347,73.8023
1,25,13.24,750,20.18594,73.9921
2,29.5,15.62,840,19.95104,73.75699
2,75,39.72,1500,20.00745,73.80875
3,48,25.42,1171,19.96966,73.7809
0,9.5,5.03,300,19.99305,73.79122
2,70,37.07,1650,20.00745,73.80875
2,35,18.53,640,19.94675,73.76337
2,34,18,640,19.94675,73.76337
2,49,25.95,1000,19.9832,73.77883
1,39,20.65,750,19.97794,73.75154
2,27.5,14.56,750,19.97693,73.79817
2,35,18.53,800,19.94749,73.76139
2,35,18.53,800,19.94749,73.76139
2,31,16.42,840,19.94749,73.76139
2,40,21.18,1100,19.96758,73.7829
1,30,15.89,650,20.00367,73.77596
2,55,29.13,1300,20.05232,73.80252
1,22,11.65,650,19.94625,73.8147
1,11.5,6.09,270,19.98745,73.78168
2,29,15.36,918,20.01678,73.79665
2,45,23.83,853,19.96758,73.7829
2,40,21.18,1000,19.84369,73.99385
0,11,5.83,270,19.98869,73.77717
2,55,29.13,950,19.95531,73.84089
3,75,39.72,1560,19.99503,73.79647
1,20,10.59,620,19.96974,73.78127
1,27,14.3,615,20.03086,73.71665
2,51,27.01,1100,20.018,73.75111
2,71,37.6,1135,20.00302,73.77727
1,26,13.77,700,19.97304,73.75005
0,21,11.12,950,19.98491,73.80525
2,45,23.83,1100,19.99503,73.79647
2,35,18.53,1100,19.98818,73.79933
0,23,12.18,826,20.09998,73.92808
1,14,7.41,639,20.04813,73.80687
1,17.81,9.43,545,19.98858,73.71576
1,25,13.24,700,19.97304,73.75005
2,30,15.89,1150,19.96311,73.77113
3,52,27.54,1150,19.99503,73.79647
2,40,21.18,850,19.97945,73.78963
1,23,12.18,662,20.04905,73.79696
3,60,31.77,1314,19.9305322,73.81173403
2,45,23.83,1100,19.99503,73.79647
